## File generated by myo_cap software 
## Available from github.com/ddantas/myo_cap 
## Timestamp: 2019-02-02_17-45-44 
##  
## EMG capture settings 
##  
# sampleRate: 2000 
# channelsPerBoard: 4 
# nBoards: 1 
# bitsPerSample: 12 
# ch/%d;%d;%d;%d;key/%d;%d;%d;%d;%d;
30;35;46;5;0;0;0;0;0;
28;32;42;5;0;0;0;0;0;
28;34;46;5;0;0;0;0;0;
36;35;46;5;0;0;0;0;0;
32;38;50;5;0;0;0;0;0;
30;35;47;5;0;0;0;0;0;
30;34;46;5;0;0;0;0;0;
30;32;47;5;0;0;0;0;0;
28;34;46;5;0;0;0;0;0;
30;35;47;5;0;0;0;0;0;
36;35;46;5;0;0;0;0;0;
32;34;42;5;0;0;0;0;0;
30;32;42;5;0;0;0;0;0;
28;32;42;5;0;0;0;0;0;
28;32;43;5;0;0;0;0;0;
28;32;42;4;0;0;0;0;0;
28;32;42;4;0;0;0;0;0;
22;26;40;4;0;0;0;0;0;
28;32;42;4;0;0;0;0;0;
28;26;34;4;0;0;0;0;0;
28;32;40;4;0;0;0;0;0;
30;32;34;3;0;0;0;0;0;
28;24;34;4;0;0;0;0;0;
22;26;34;3;0;0;0;0;0;
28;27;34;3;0;0;0;0;0;
30;35;42;3;0;0;0;0;0;
22;24;34;4;0;0;0;0;0;
28;26;34;3;0;0;0;0;0;
28;32;42;4;0;0;0;0;0;
28;32;42;4;0;0;0;0;0;
28;32;42;4;0;0;0;0;0;
30;34;42;4;0;0;0;0;0;
28;32;42;4;0;0;0;0;0;
30;34;42;4;0;0;0;0;0;
30;35;46;5;0;0;0;0;0;
28;34;47;5;0;0;0;0;0;
32;32;42;5;0;0;0;0;0;
30;34;46;5;0;0;0;0;0;
36;38;46;5;0;0;0;0;0;
36;38;46;5;0;0;0;0;0;
30;35;46;5;0;0;0;0;0;
30;32;42;5;0;0;0;0;0;
30;34;46;5;0;0;0;0;0;
28;32;46;5;0;0;0;0;0;
28;32;42;5;0;0;0;0;0;
28;32;42;5;0;0;0;0;0;
28;32;42;5;0;0;0;0;0;
28;32;43;5;0;0;0;0;0;
30;34;42;4;0;0;0;0;0;
30;34;42;4;0;0;0;0;0;
28;32;42;5;0;0;0;0;0;
28;32;42;5;0;0;0;0;0;
28;32;42;5;0;0;0;0;0;
28;33;42;4;0;0;0;0;0;
28;32;42;4;0;0;0;0;0;
28;32;42;4;0;0;0;0;0;
30;32;40;4;0;0;0;0;0;
30;32;34;3;0;0;0;0;0;
28;32;34;3;0;0;0;0;0;
22;27;38;4;0;0;0;0;0;
22;22;34;3;0;0;0;0;0;
28;32;40;4;0;0;0;0;0;
22;26;35;4;0;0;0;0;0;
28;26;34;3;0;0;0;0;0;
30;32;40;3;0;0;0;0;0;
28;32;42;4;0;0;0;0;0;
28;32;35;4;0;0;0;0;0;
30;32;42;4;0;0;0;0;0;
28;32;40;4;0;0;0;0;0;
30;33;42;4;0;0;0;0;0;
30;32;42;5;0;0;0;0;0;
28;32;43;5;0;0;0;0;0;
32;32;42;4;0;0;0;0;0;
28;34;46;5;0;0;0;0;0;
30;32;43;5;0;0;0;0;0;
30;32;46;5;0;0;0;0;0;
30;32;46;5;0;0;0;0;0;
36;40;47;5;0;0;0;0;0;
36;38;46;5;0;0;0;0;0;
30;34;47;5;0;0;0;0;0;
30;35;47;5;0;0;0;0;0;
30;35;46;5;0;0;0;0;0;
28;32;42;5;0;0;0;0;0;
28;32;43;5;0;0;0;0;0;
28;32;42;5;0;0;0;0;0;
30;32;42;4;0;0;0;0;0;
30;32;42;4;0;0;0;0;0;
30;34;42;4;0;0;0;0;0;
30;34;42;4;0;0;0;0;0;
30;32;42;4;0;0;0;0;0;
30;32;42;4;0;0;0;0;0;
30;32;42;4;0;0;0;0;0;
30;32;42;4;0;0;0;0;0;
30;32;42;4;0;0;0;0;0;
30;32;42;4;0;0;0;0;0;
30;32;42;4;0;0;0;0;0;
30;32;42;4;0;0;0;0;0;
30;32;42;4;0;0;0;0;0;
28;32;40;4;0;0;0;0;0;
28;32;40;4;0;0;0;0;0;
30;32;40;4;0;0;0;0;0;
30;32;40;4;0;0;0;0;0;
30;32;40;4;0;0;0;0;0;
30;32;40;4;0;0;0;0;0;
30;32;40;4;0;0;0;0;0;
28;32;40;4;0;0;0;0;0;
28;32;40;4;0;0;0;0;0;
28;32;40;4;0;0;0;0;0;
24;24;34;4;0;0;0;0;0;
24;24;34;4;0;0;0;0;0;
22;32;42;4;0;0;0;0;0;
22;32;42;4;0;0;0;0;0;
22;32;42;4;0;0;0;0;0;
22;32;42;4;0;0;0;0;0;
28;32;40;4;0;0;0;0;0;
28;32;40;4;0;0;0;0;0;
28;32;40;4;0;0;0;0;0;
22;26;34;3;0;0;0;0;0;
28;32;40;3;0;0;0;0;0;
28;24;34;4;0;0;0;0;0;
28;32;40;4;0;0;0;0;0;
30;32;40;4;0;0;0;0;0;
28;32;40;4;0;0;0;0;0;
28;32;40;4;0;0;0;0;0;
28;32;40;4;0;0;0;0;0;
34;35;42;4;0;0;0;0;0;
30;32;42;5;0;0;0;0;0;
30;35;42;4;0;0;0;0;0;
28;32;43;5;0;0;0;0;0;
30;34;46;5;0;0;0;0;0;
30;34;43;5;0;0;0;0;0;
32;36;46;5;0;0;0;0;0;
36;38;46;5;0;0;0;0;0;
28;32;46;5;0;0;0;0;0;
30;35;46;5;0;0;0;0;0;
36;40;47;5;0;0;0;0;0;
36;35;42;5;0;0;0;0;0;
30;32;42;5;0;0;0;0;0;
28;32;42;5;0;0;0;0;0;
28;32;43;5;0;0;0;0;0;
28;32;42;5;0;0;0;0;0;
28;32;43;5;0;0;0;0;0;
30;34;42;4;0;0;0;0;0;
30;34;42;4;0;0;0;0;0;
30;34;42;4;0;0;0;0;0;
30;34;42;4;0;0;0;0;0;
28;32;42;5;0;0;0;0;0;
28;32;40;4;0;0;0;0;0;
28;32;40;4;0;0;0;0;0;
22;24;34;4;0;0;0;0;0;
28;26;34;3;0;0;0;0;0;
28;26;34;3;0;0;0;0;0;
22;26;34;4;0;0;0;0;0;
22;22;34;4;0;0;0;0;0;
28;26;34;4;0;0;0;0;0;
30;32;34;3;0;0;0;0;0;
30;32;34;3;0;0;0;0;0;
22;27;42;4;0;0;0;0;0;
30;32;40;4;0;0;0;0;0;
30;32;42;4;0;0;0;0;0;
28;32;42;5;0;0;0;0;0;
28;32;42;5;0;0;0;0;0;
28;32;42;5;0;0;0;0;0;
28;32;42;5;0;0;0;0;0;
28;32;42;5;0;0;0;0;0;
28;32;42;5;0;0;0;0;0;
28;32;42;5;0;0;0;0;0;
28;32;42;5;0;0;0;0;0;
28;32;42;5;0;0;0;0;0;
28;32;42;5;0;0;0;0;0;
28;32;42;5;0;0;0;0;0;
28;32;42;5;0;0;0;0;0;
28;32;42;5;0;0;0;0;0;
30;34;43;5;0;0;0;0;0;
30;34;43;5;0;0;0;0;0;
30;34;46;5;0;0;0;0;0;
30;34;43;5;0;0;0;0;0;
30;32;43;5;0;0;0;0;0;
30;32;43;5;0;0;0;0;0;
30;32;43;5;0;0;0;0;0;
28;32;46;5;0;0;0;0;0;
28;32;46;5;0;0;0;0;0;
34;38;46;5;0;0;0;0;0;
36;38;46;5;0;0;0;0;0;
30;34;47;5;0;0;0;0;0;
30;35;47;5;0;0;0;0;0;
30;35;47;5;0;0;0;0;0;
30;35;46;5;0;0;0;0;0;
28;34;47;5;0;0;0;0;0;
28;32;42;5;0;0;0;0;0;
28;32;42;5;0;0;0;0;0;
32;34;42;4;0;0;0;0;0;
28;32;42;4;0;0;0;0;0;
28;32;42;4;0;0;0;0;0;
30;32;40;4;0;0;0;0;0;
28;32;42;4;0;0;0;0;0;
22;26;40;4;0;0;0;0;0;
28;32;35;3;0;0;0;0;0;
28;26;34;3;0;0;0;0;0;
28;32;40;4;0;0;0;0;0;
28;32;40;4;0;0;0;0;0;
28;32;34;4;0;0;0;0;0;
28;32;34;3;0;0;0;0;0;
28;32;35;3;0;0;0;0;0;
30;32;40;4;0;0;0;0;0;
28;32;42;4;0;0;0;0;0;
30;34;42;4;0;0;0;0;0;
28;32;42;5;0;0;0;0;0;
28;32;42;4;0;0;0;0;0;
36;34;42;4;0;0;0;0;0;
30;34;43;5;0;0;0;0;0;
36;38;46;5;0;0;0;0;0;
28;32;42;5;0;0;0;0;0;
30;34;47;5;0;0;0;0;0;
34;38;47;5;0;0;0;0;0;
32;34;42;5;0;0;0;0;0;
30;32;46;5;0;0;0;0;0;
30;34;46;5;0;0;0;0;0;
28;34;47;5;0;0;0;0;0;
30;35;47;5;0;0;0;0;0;
36;38;46;5;0;0;0;0;0;
30;32;42;5;0;0;0;0;0;
28;32;42;5;0;0;0;0;0;
28;32;46;5;0;0;0;0;0;
30;32;42;4;0;0;0;0;0;
28;32;43;5;0;0;0;0;0;
30;34;42;4;0;0;0;0;0;
28;32;42;4;0;0;0;0;0;
28;32;42;4;0;0;0;0;0;
28;32;42;4;0;0;0;0;0;
28;32;40;4;0;0;0;0;0;
30;34;42;4;0;0;0;0;0;
28;32;40;4;0;0;0;0;0;
28;32;42;4;0;0;0;0;0;
28;32;42;4;0;0;0;0;0;
28;32;40;4;0;0;0;0;0;
30;33;42;4;0;0;0;0;0;
30;34;42;4;0;0;0;0;0;
28;32;42;4;0;0;0;0;0;
28;32;34;4;0;0;0;0;0;
30;32;42;4;0;0;0;0;0;
28;32;42;5;0;0;0;0;0;
28;32;42;5;0;0;0;0;0;
28;32;43;5;0;0;0;0;0;
28;32;42;5;0;0;0;0;0;
28;32;42;5;0;0;0;0;0;
32;32;42;5;0;0;0;0;0;
30;32;46;5;0;0;0;0;0;
36;38;46;5;0;0;0;0;0;
30;34;46;5;0;0;0;0;0;
30;34;46;5;0;0;0;0;0;
28;33;47;5;0;0;0;0;0;
30;35;46;5;0;0;0;0;0;
30;34;46;5;0;0;0;0;0;
30;32;42;5;0;0;0;0;0;
30;32;42;4;0;0;0;0;0;
28;32;42;5;0;0;0;0;0;
30;34;42;5;0;0;0;0;0;
28;32;42;4;0;0;0;0;0;
30;34;42;4;0;0;0;0;0;
30;33;42;4;0;0;0;0;0;
28;32;42;4;0;0;0;0;0;
28;32;42;4;0;0;0;0;0;
22;24;34;4;0;0;0;0;0;
28;26;34;3;0;0;0;0;0;
28;26;34;4;0;0;0;0;0;
28;32;34;3;0;0;0;0;0;
28;32;34;3;0;0;0;0;0;
28;32;34;3;0;0;0;0;0;
28;32;34;3;0;0;0;0;0;
28;32;34;3;0;0;0;0;0;
22;26;35;3;0;0;0;0;0;
28;32;34;3;0;0;0;0;0;
28;32;34;3;0;0;0;0;0;
28;32;34;3;0;0;0;0;0;
28;32;34;3;0;0;0;0;0;
28;32;34;4;0;0;0;0;0;
30;32;40;4;0;0;0;0;0;
30;34;42;4;0;0;0;0;0;
28;32;42;4;0;0;0;0;0;
28;32;42;4;0;0;0;0;0;
28;32;42;4;0;0;0;0;0;
28;32;42;4;0;0;0;0;0;
28;32;42;4;0;0;0;0;0;
28;32;42;4;0;0;0;0;0;
30;32;42;4;0;0;0;0;0;
30;32;42;4;0;0;0;0;0;
30;32;42;4;0;0;0;0;0;
30;32;42;4;0;0;0;0;0;
30;32;42;5;0;0;0;0;0;
30;35;47;5;0;0;0;0;0;
30;35;46;5;0;0;0;0;0;
30;34;46;5;0;0;0;0;0;
30;34;42;5;0;0;0;0;0;
28;34;46;5;0;0;0;0;0;
28;32;46;5;0;0;0;0;0;
30;34;46;5;0;0;0;0;0;
30;34;46;5;0;0;0;0;0;
30;38;50;5;0;0;0;0;0;
30;32;42;5;0;0;0;0;0;
36;38;46;5;0;0;0;0;0;
30;35;46;5;0;0;0;0;0;
30;35;46;5;0;0;0;0;0;
30;35;46;5;0;0;0;0;0;
30;35;46;5;0;0;0;0;0;
30;35;46;5;0;0;0;0;0;
28;32;43;5;0;0;0;0;0;
28;32;43;5;0;0;0;0;0;
28;32;42;5;0;0;0;0;0;
30;32;42;4;0;0;0;0;0;
30;32;42;4;0;0;0;0;0;
30;32;42;4;0;0;0;0;0;
30;32;42;4;0;0;0;0;0;
28;32;42;4;0;0;0;0;0;
28;32;42;4;0;0;0;0;0;
28;32;42;4;0;0;0;0;0;
28;32;42;4;0;0;0;0;0;
28;32;40;4;0;0;0;0;0;
28;32;40;4;0;0;0;0;0;
28;32;40;4;0;0;0;0;0;
22;26;34;3;0;0;0;0;0;
28;32;35;3;0;0;0;0;0;
28;27;34;4;0;0;0;0;0;
28;32;40;4;0;0;0;0;0;
28;32;40;3;0;0;0;0;0;
28;32;42;4;0;0;0;0;0;
30;32;40;4;0;0;0;0;0;
28;32;42;4;0;0;0;0;0;
30;34;42;4;0;0;0;0;0;
28;32;42;5;0;0;0;0;0;
30;32;42;4;0;0;0;0;0;
30;32;42;4;0;0;0;0;0;
28;32;42;5;0;0;0;0;0;
30;34;46;5;0;0;0;0;0;
28;32;43;5;0;0;0;0;0;
30;35;46;5;0;0;0;0;0;
30;34;46;5;0;0;0;0;0;
30;32;42;5;0;0;0;0;0;
30;34;46;5;0;0;0;0;0;
30;34;46;5;0;0;0;0;0;
28;32;42;5;0;0;0;0;0;
30;34;46;5;0;0;0;0;0;
28;32;46;5;0;0;0;0;0;
