## File generated by myo_cap software 
## Available from github.com/ddantas/myo_cap 
## Timestamp: 2019-02-04_14-50-29 
##  
## EMG capture settings 
##  
# sampleRate: 2000 
# channelsPerBoard: 4 
# nBoards: 1 
# bitsPerSample: 12 
## File generated by myo_cap software 
## Available from github.com/ddantas/myo_cap 
## Timestamp: 2019-02-04_14-55-54 
##  
## EMG capture settings 
##  
# sampleRate: 2000 
# channelsPerBoard: 4 
# nBoards: 1 
# bitsPerSample: 12 
# ch/%d;%d;%d;%d;key/%d;%d;%d;%d;%d;;ch/%d;%d;%d;%d;key/%d;%d;%d;%d;%d;
142;187;254;29;0;0;0;0;0;
68;106;186;21;0;0;0;0;0;
68;106;186;21;0;0;0;0;0;
68;106;186;21;0;0;0;0;0;
68;106;186;21;0;0;0;0;0;
68;106;186;21;0;0;0;0;0;
68;106;186;21;0;0;0;0;0;
68;106;186;21;0;0;0;0;0;
68;106;186;21;0;0;0;0;0;
68;106;186;21;0;0;0;0;0;
68;106;186;21;0;0;0;0;0;
68;106;186;21;0;0;0;0;0;
68;106;186;21;0;0;0;0;0;
68;106;186;21;0;0;0;0;0;
68;106;186;21;0;0;0;0;0;
68;106;186;21;0;0;0;0;0;
68;106;186;21;0;0;0;0;0;
68;106;186;21;0;0;0;0;0;
68;106;186;21;0;0;0;0;0;
46;70;138;15;0;0;0;0;0;
38;51;98;13;0;0;0;0;0;
36;46;79;10;0;0;0;0;0;
30;38;74;9;0;0;0;0;0;
36;40;62;8;0;0;0;0;0;
36;40;58;7;0;0;0;0;0;
36;43;58;6;0;0;0;0;0;
30;34;51;6;0;0;0;0;0;
30;34;50;5;0;0;0;0;0;
32;34;46;5;0;0;0;0;0;
32;34;46;5;0;0;0;0;0;
30;34;46;5;0;0;0;0;0;
30;34;46;5;0;0;0;0;0;
30;34;46;5;0;0;0;0;0;
30;34;46;5;0;0;0;0;0;
28;32;42;5;0;0;0;0;0;
28;32;42;4;0;0;0;0;0;
22;32;42;5;0;0;0;0;0;
22;24;35;4;0;0;0;0;0;
30;32;40;4;0;0;0;0;0;
22;24;34;4;0;0;0;0;0;
30;32;34;3;0;0;0;0;0;
28;32;34;3;0;0;0;0;0;
30;32;40;3;0;0;0;0;0;
30;32;40;3;0;0;0;0;0;
30;32;40;3;0;0;0;0;0;
28;32;40;4;0;0;0;0;0;
28;32;42;4;0;0;0;0;0;
28;32;34;3;0;0;0;0;0;
22;26;35;4;0;0;0;0;0;
22;26;35;4;0;0;0;0;0;
30;32;40;3;0;0;0;0;0;
30;34;42;4;0;0;0;0;0;
30;34;42;4;0;0;0;0;0;
30;34;42;4;0;0;0;0;0;
30;35;42;4;0;0;0;0;0;
36;38;46;4;0;0;0;0;0;
30;38;47;5;0;0;0;0;0;
30;35;46;5;0;0;0;0;0;
28;34;47;5;0;0;0;0;0;
30;35;47;5;0;0;0;0;0;
28;32;46;5;0;0;0;0;0;
32;32;42;5;0;0;0;0;0;
30;35;46;5;0;0;0;0;0;
30;35;47;5;0;0;0;0;0;
28;32;47;5;0;0;0;0;0;
30;32;46;5;0;0;0;0;0;
30;35;50;5;0;0;0;0;0;
30;32;42;5;0;0;0;0;0;
30;35;43;4;0;0;0;0;0;
30;35;43;4;0;0;0;0;0;
30;35;43;4;0;0;0;0;0;
30;35;43;4;0;0;0;0;0;
30;35;43;4;0;0;0;0;0;
30;35;47;5;0;0;0;0;0;
30;35;47;5;0;0;0;0;0;
30;35;47;5;0;0;0;0;0;
30;35;47;5;0;0;0;0;0;
30;35;47;5;0;0;0;0;0;
28;32;42;5;0;0;0;0;0;
28;32;42;5;0;0;0;0;0;
28;32;42;5;0;0;0;0;0;
30;34;43;5;0;0;0;0;0;
28;32;42;5;0;0;0;0;0;
28;32;42;4;0;0;0;0;0;
28;32;42;4;0;0;0;0;0;
28;32;42;4;0;0;0;0;0;
30;34;42;4;0;0;0;0;0;
28;32;42;4;0;0;0;0;0;
28;32;42;4;0;0;0;0;0;
28;32;42;4;0;0;0;0;0;
28;32;42;4;0;0;0;0;0;
28;32;34;4;0;0;0;0;0;
28;32;34;4;0;0;0;0;0;
30;32;40;3;0;0;0;0;0;
30;32;40;3;0;0;0;0;0;
30;32;40;3;0;0;0;0;0;
28;32;42;4;0;0;0;0;0;
22;20;34;3;0;0;0;0;0;
22;20;34;3;0;0;0;0;0;
22;20;34;3;0;0;0;0;0;
22;20;34;3;0;0;0;0;0;
22;20;34;3;0;0;0;0;0;
22;20;34;3;0;0;0;0;0;
22;20;34;3;0;0;0;0;0;
30;32;34;3;0;0;0;0;0;
30;32;34;3;0;0;0;0;0;
22;26;34;3;0;0;0;0;0;
22;26;34;3;0;0;0;0;0;
22;26;34;3;0;0;0;0;0;
22;26;34;3;0;0;0;0;0;
22;26;34;3;0;0;0;0;0;
22;26;34;3;0;0;0;0;0;
22;26;34;3;0;0;0;0;0;
22;26;34;3;0;0;0;0;0;
28;24;34;3;0;0;0;0;0;
28;24;34;3;0;0;0;0;0;
28;24;34;3;0;0;0;0;0;
28;24;34;3;0;0;0;0;0;
28;24;34;3;0;0;0;0;0;
28;24;34;3;0;0;0;0;0;
28;24;34;3;0;0;0;0;0;
28;24;34;3;0;0;0;0;0;
28;32;42;4;0;0;0;0;0;
28;32;42;4;0;0;0;0;0;
28;32;42;4;0;0;0;0;0;
28;26;34;3;0;0;0;0;0;
28;24;34;3;0;0;0;0;0;
28;24;34;3;0;0;0;0;0;
28;24;34;3;0;0;0;0;0;
28;24;34;3;0;0;0;0;0;
28;24;34;3;0;0;0;0;0;
28;24;34;3;0;0;0;0;0;
28;24;34;3;0;0;0;0;0;
28;32;40;4;0;0;0;0;0;
28;32;40;4;0;0;0;0;0;
28;32;40;4;0;0;0;0;0;
28;32;40;4;0;0;0;0;0;
28;32;40;4;0;0;0;0;0;
28;32;40;4;0;0;0;0;0;
28;32;40;4;0;0;0;0;0;
28;32;40;4;0;0;0;0;0;
28;32;40;4;0;0;0;0;0;
28;32;40;4;0;0;0;0;0;
28;32;40;4;0;0;0;0;0;
28;32;40;4;0;0;0;0;0;
28;32;42;4;0;0;0;0;0;
28;32;42;4;0;0;0;0;0;
32;32;42;4;0;0;0;0;0;
32;32;42;4;0;0;0;0;0;
32;32;42;4;0;0;0;0;0;
30;32;42;4;0;0;0;0;0;
30;32;42;4;0;0;0;0;0;
30;32;42;4;0;0;0;0;0;
30;32;42;4;0;0;0;0;0;
36;35;42;4;0;0;0;0;0;
32;35;46;5;0;0;0;0;0;
30;35;46;5;0;0;0;0;0;
30;35;47;5;0;0;0;0;0;
28;34;47;5;0;0;0;0;0;
30;32;43;5;0;0;0;0;0;
30;32;43;5;0;0;0;0;0;
30;32;43;5;0;0;0;0;0;
30;32;43;5;0;0;0;0;0;
30;32;43;5;0;0;0;0;0;
30;32;43;5;0;0;0;0;0;
30;32;43;5;0;0;0;0;0;
30;32;43;5;0;0;0;0;0;
30;32;43;5;0;0;0;0;0;
30;32;43;5;0;0;0;0;0;
30;32;43;5;0;0;0;0;0;
30;32;43;5;0;0;0;0;0;
30;32;43;5;0;0;0;0;0;
30;39;50;5;0;0;0;0;0;
30;39;50;5;0;0;0;0;0;
30;39;50;5;0;0;0;0;0;
30;39;50;5;0;0;0;0;0;
30;39;50;5;0;0;0;0;0;
30;39;50;5;0;0;0;0;0;
30;39;50;5;0;0;0;0;0;
30;39;50;5;0;0;0;0;0;
