## File generated by myo_cap software 
## Available from github.com/ddantas/myo_cap 
## Timestamp: 2019-02-04_16-18-50 
##  
## EMG capture settings 
##  
# sampleRate: 2000 
# channelsPerBoard: 4 
# nBoards: 1 
# bitsPerSample: 12 
# ch/%d;%d;%d;%d;lp/%d;%d;%d;%d;%d;%d;%d;%d;%d;%d;%d;%d;%d;%d;%d;
0;0;0;0;57;87;87;96;97;97;5;3;3;6;5;5;5;9;9;
0;0;0;0;57;87;87;96;97;97;5;3;3;6;5;5;5;9;9;
0;0;0;0;57;87;87;96;97;97;5;3;3;6;5;5;5;9;9;
0;0;0;0;57;87;87;96;97;97;5;3;3;6;5;5;5;9;9;
0;0;0;0;57;87;87;96;97;97;5;3;3;6;5;5;5;9;9;
0;0;0;0;57;87;87;96;97;97;5;3;3;6;5;5;5;9;9;
0;0;0;0;57;87;87;96;97;97;5;3;3;6;5;5;5;9;9;
0;0;0;0;57;87;87;96;97;97;5;3;3;6;5;5;5;9;9;
0;0;0;0;57;87;87;96;97;97;5;3;3;6;5;5;5;9;9;
0;0;0;0;57;87;87;96;97;97;5;3;3;6;5;5;5;9;9;
0;0;0;0;57;87;87;96;97;97;5;3;3;6;5;5;5;9;9;
0;0;0;0;57;87;87;96;97;97;5;3;3;6;5;5;5;9;9;
0;0;0;0;57;87;87;96;97;97;5;3;3;6;5;5;5;9;9;
0;0;0;0;57;87;87;96;97;97;5;3;3;6;5;5;5;9;9;
0;0;0;0;57;87;87;96;97;97;5;3;3;6;5;5;5;9;9;
0;0;0;0;57;87;87;96;97;97;5;3;3;6;5;5;5;9;9;
0;0;0;0;57;87;87;96;97;97;5;3;3;6;5;5;5;9;9;
0;0;0;0;57;87;87;96;97;97;5;3;3;6;5;5;5;9;9;
0;0;0;0;57;87;87;96;97;97;5;3;3;6;5;5;5;9;9;
0;0;0;0;57;87;87;96;97;97;5;3;3;6;5;5;5;9;9;
0;0;0;0;57;87;87;96;97;97;5;3;3;6;5;5;5;9;9;
0;0;0;0;57;87;87;96;97;97;5;3;3;6;5;5;5;9;9;
0;0;0;0;57;87;87;96;97;97;5;3;3;6;5;5;5;9;9;
0;0;0;0;57;87;87;96;97;97;5;3;3;6;5;5;5;9;9;
0;0;0;0;57;87;87;96;97;97;5;3;3;6;5;5;5;9;9;
0;0;0;0;57;87;87;96;97;97;5;3;3;6;5;5;5;9;9;
0;0;0;0;57;87;87;96;97;97;5;3;3;6;5;5;5;9;9;
0;0;0;0;57;87;87;96;97;97;5;3;3;6;5;5;5;9;9;
0;0;0;0;57;87;87;96;97;97;5;3;3;6;5;5;5;9;9;
0;0;0;0;57;87;87;96;97;97;5;3;3;6;5;5;5;9;9;
0;0;0;0;57;87;87;96;97;97;5;3;3;6;5;5;5;9;9;
0;0;0;0;57;87;87;96;97;97;5;3;3;6;5;5;5;9;9;
0;0;0;0;57;87;87;96;97;97;5;3;3;6;5;5;5;9;9;
0;0;0;0;57;87;87;96;97;97;5;3;3;6;5;5;5;9;9;
0;0;0;0;57;87;87;96;97;97;5;3;3;6;5;5;5;9;9;
0;0;0;0;57;87;87;96;97;97;5;3;3;6;5;5;5;9;9;
0;0;0;0;57;87;87;96;97;97;5;3;3;6;5;5;5;9;9;
0;0;0;0;57;87;87;96;97;97;5;3;3;6;5;5;5;9;9;
0;0;0;0;57;87;87;96;97;97;5;3;3;6;5;5;5;9;9;
