## File generated by myo_cap software 
## Available from github.com/ddantas/myo_cap 
## Timestamp: 2020-01-22_13-50-47 
##  
## EMG capture settings 
##  
# sampleRate: 2000 
# channelsPerBoard: 4 
# nBoards: 1 
# bitsPerSample: 12 
# ch1;ch2;ch3;ch4
3147;3199;3250;3301
3352;3403;3455;3506
3557;3608;3659;3711
3762;3813;3864;3915
3966;4018;4069;25
76;127;179;230
281;332;383;435
486;537;588;639
690;742;793;844
895;946;998;1049
1100;1151;1202;1254
1305;1356;1407;1458
1509;1561;1612;1663
1714;1765;1817;1868
1919;1970;2021;2073
2124;2175;2226;2277
2328;2380;2431;2482
2533;2584;2636;2687
2738;2789;2840;2892
2943;2994;3045;3096
3147;3199;3250;3301
3352;3403;3455;3506
3557;3608;3659;3711
3762;3813;3864;3915
3966;4018;4069;25
76;127;179;230
281;332;383;435
486;537;588;639
690;742;793;844
895;946;998;1049
1100;1151;1202;1254
1305;1356;1407;1458
1509;1561;1612;1663
1714;1765;1817;1868
1919;1970;2021;2073
2124;2175;2226;2277
2328;2380;2431;2482
2533;2584;2636;2687
2738;2789;2840;2892
2943;2994;3045;3096
3147;3199;3250;3301
3352;3403;3455;3506
3557;3608;3659;3711
3762;3813;3864;3915
3966;4018;4069;25
76;127;179;230
281;332;383;435
486;537;588;639
690;742;793;844
895;946;998;1049
1100;1151;1202;1254
1305;1356;1407;1458
1509;1561;1612;1663
1714;1765;1817;1868
1919;1970;2021;2073
2124;2175;2226;2277
2328;2380;2431;2482
2533;2584;2636;2687
2738;2789;2840;2892
2943;2994;3045;3096
3147;3199;3250;3301
3352;3403;3455;3506
3557;3608;3659;3711
3762;3813;3864;3915
3966;4018;4069;25
76;127;179;230
281;332;383;435
486;537;588;639
690;742;793;844
895;946;998;1049
1100;1151;1202;1254
1305;1356;1407;1458
1509;1561;1612;1663
1714;1765;1817;1868
1919;1970;2021;2073
2124;2175;2226;2277
2328;2380;2431;2482
2533;2584;2636;2687
2738;2789;2840;2892
2943;2994;3045;3096
3147;3199;3250;3301
3352;3403;3455;3506
3557;3608;3659;3711
3762;3813;3864;3915
3966;4018;4069;25
76;127;179;230
281;332;383;435
486;537;588;639
690;742;793;844
895;946;998;1049
1100;1151;1202;1254
1305;1356;1407;1458
1509;1561;1612;1663
1714;1765;1817;1868
1919;1970;2021;2073
2124;2175;2226;2277
2328;2380;2431;2482
2533;2584;2636;2687
2738;2789;2840;2892
2943;2994;3045;3096
3147;3199;3250;3301
3352;3403;3455;3506
3557;3608;3659;3711
3762;3813;3864;3915
3966;4018;4069;25
76;127;179;230
281;332;383;435
486;537;588;639
690;742;793;844
895;946;998;1049
1100;1151;1202;1254
1305;1356;1407;1458
1509;1561;1612;1663
1714;1765;1817;1868
1919;1970;2021;2073
2124;2175;2226;2277
2328;2380;2431;2482
2533;2584;2636;2687
2738;2789;2840;2892
2943;2994;3045;3096
3147;3199;3250;3301
3352;3403;3455;3506
3557;3608;3659;3711
3762;3813;3864;3915
3966;4018;4069;25
76;127;179;230
281;332;383;435
486;537;588;639
690;742;793;844
895;946;998;1049
1100;1151;1202;1254
1305;1356;1407;1458
1509;1561;1612;1663
1714;1765;1817;1868
1919;1970;2021;2073
2124;2175;2226;2277
2328;2380;2431;2482
2533;2584;2636;2687
2738;2789;2840;2892
2943;2994;3045;3096
3147;3199;3250;3301
3352;3403;3455;3506
3557;3608;3659;3711
3762;3813;3864;3915
3966;4018;4069;25
76;127;179;230
281;332;383;435
486;537;588;639
690;742;793;844
895;946;998;1049
1100;1151;1202;1254
1305;1356;1407;1458
1509;1561;1612;1663
1714;1765;1817;1868
1919;1970;2021;2073
2124;2175;2226;2277
2328;2380;2431;2482
2533;2584;2636;2687
2738;2789;2840;2892
2943;2994;3045;3096
3147;3199;3250;3301
3352;3403;3455;3506
3557;3608;3659;3711
3762;3813;3864;3915
3966;4018;4069;25
76;127;179;230
281;332;383;435
486;537;588;639
690;742;793;844
895;946;998;1049
1100;1151;1202;1254
1305;1356;1407;1458
1509;1561;1612;1663
1714;1765;1817;1868
1919;1970;2021;2073
2124;2175;2226;2277
2328;2380;2431;2482
2533;2584;2636;2687
2738;2789;2840;2892
2943;2994;3045;3096
3147;3199;3250;3301
3352;3403;3455;3506
3557;3608;3659;3711
3762;3813;3864;3915
3966;4018;4069;25
76;127;179;230
281;332;383;435
486;537;588;639
690;742;793;844
895;946;998;1049
1100;1151;1202;1254
1305;1356;1407;1458
1509;1561;1612;1663
1714;1765;1817;1868
1919;1970;2021;2073
2124;2175;2226;2277
2328;2380;2431;2482
2533;2584;2636;2687
2738;2789;2840;2892
2943;2994;3045;3096
3147;3199;3250;3301
3352;3403;3455;3506
3557;3608;3659;3711
3762;3813;3864;3915
3966;4018;4069;25
76;127;179;230
281;332;383;435
486;537;588;639
690;742;793;844
895;946;998;1049
1100;1151;1202;1254
1305;1356;1407;1458
1509;1561;1612;1663
1714;1765;1817;1868
1919;1970;2021;2073
2124;2175;2226;2277
2328;2380;2431;2482
2533;2584;2636;2687
2738;2789;2840;2892
2943;2994;3045;3096
3147;3199;3250;3301
3352;3403;3455;3506
3557;3608;3659;3711
3762;3813;3864;3915
3966;4018;4069;25
76;127;179;230
281;332;383;435
486;537;588;639
690;742;793;844
895;946;998;1049
1100;1151;1202;1254
1305;1356;1407;1458
1509;1561;1612;1663
1714;1765;1817;1868
1919;1970;2021;2073
2124;2175;2226;2277
2328;2380;2431;2482
2533;2584;2636;2687
2738;2789;2840;2892
2943;2994;3045;3096
3147;3199;3250;3301
3352;3403;3455;3506
3557;3608;3659;3711
3762;3813;3864;3915
3966;4018;4069;25
76;127;179;230
281;332;383;435
486;537;588;639
690;742;793;844
895;946;998;1049
1100;1151;1202;1254
1305;1356;1407;1458
1509;1561;1612;1663
1714;1765;1817;1868
1919;1970;2021;2073
2124;2175;2226;2277
2328;2380;2431;2482
2533;2584;2636;2687
2738;2789;2840;2892
2943;2994;3045;3096
3147;3199;3250;3301
3352;3403;3455;3506
3557;3608;3659;3711
3762;3813;3864;3915
3966;4018;4069;25
76;127;179;230
281;332;383;435
486;537;588;639
690;742;793;844
895;946;998;1049
1100;1151;1202;1254
1305;1356;1407;1458
1509;1561;1612;1663
1714;1765;1817;1868
1919;1970;2021;2073
2124;2175;2226;2277
2328;2380;2431;2482
2533;2584;2636;2687
2738;2789;2840;2892
2943;2994;3045;3096
3147;3199;3250;3301
3352;3403;3455;3506
3557;3608;3659;3711
3762;3813;3864;3915
3966;4018;4069;25
76;127;179;230
281;332;383;435
486;537;588;639
690;742;793;844
895;946;998;1049
1100;1151;1202;1254
1305;1356;1407;1458
1509;1561;1612;1663
1714;1765;1817;1868
1919;1970;2021;2073
2124;2175;2226;2277
2328;2380;2431;2482
2533;2584;2636;2687
2738;2789;2840;2892
2943;2994;3045;3096
3147;3199;3250;3301
3352;3403;3455;3506
3557;3608;3659;3711
3762;3813;3864;3915
3966;4018;4069;25
76;127;179;230
281;332;383;435
486;537;588;639
690;742;793;844
895;946;998;1049
1100;1151;1202;1254
1305;1356;1407;1458
1509;1561;1612;1663
1714;1765;1817;1868
1919;1970;2021;2073
2124;2175;2226;2277
2328;2380;2431;2482
2533;2584;2636;2687
2738;2789;2840;2892
2943;2994;3045;3096
3147;3199;3250;3301
3352;3403;3455;3506
3557;3608;3659;3711
3762;3813;3864;3915
3966;4018;4069;25
76;127;179;230
281;332;383;435
486;537;588;639
690;742;793;844
895;946;998;1049
1100;1151;1202;1254
1305;1356;1407;1458
1509;1561;1612;1663
1714;1765;1817;1868
1919;1970;2021;2073
2124;2175;2226;2277
2328;2380;2431;2482
2533;2584;2636;2687
2738;2789;2840;2892
2943;2994;3045;3096
3147;3199;3250;3301
3352;3403;3455;3506
3557;3608;3659;3711
3762;3813;3864;3915
3966;4018;4069;25
76;127;179;230
281;332;383;435
486;537;588;639
690;742;793;844
895;946;998;1049
1100;1151;1202;1254
1305;1356;1407;1458
1509;1561;1612;1663
1714;1765;1817;1868
1919;1970;2021;2073
2124;2175;2226;2277
2328;2380;2431;2482
2533;2584;2636;2687
2738;2789;2840;2892
2943;2994;3045;3096
3147;3199;3250;3301
3352;3403;3455;3506
3557;3608;3659;3711
3762;3813;3864;3915
3966;4018;4069;25
76;127;179;230
281;332;383;435
486;537;588;639
690;742;793;844
895;946;998;1049
1100;1151;1202;1254
1305;1356;1407;1458
1509;1561;1612;1663
1714;1765;1817;1868
1919;1970;2021;2073
2124;2175;2226;2277
2328;2380;2431;2482
2533;2584;2636;2687
2738;2789;2840;2892
2943;2994;3045;3096
3147;3199;3250;3301
3352;3403;3455;3506
3557;3608;3659;3711
3762;3813;3864;3915
3966;4018;4069;25
76;127;179;230
281;332;383;435
486;537;588;639
690;742;793;844
895;946;998;1049
1100;1151;1202;1254
1305;1356;1407;1458
1509;1561;1612;1663
1714;1765;1817;1868
1919;1970;2021;2073
2124;2175;2226;2277
2328;2380;2431;2482
2533;2584;2636;2687
2738;2789;2840;2892
2943;2994;3045;3096
3147;3199;3250;3301
3352;3403;3455;3506
3557;3608;3659;3711
3762;3813;3864;3915
3966;4018;4069;25
76;127;179;230
281;332;383;435
486;537;588;639
690;742;793;844
895;946;998;1049
1100;1151;1202;1254
1305;1356;1407;1458
1509;1561;1612;1663
1714;1765;1817;1868
1919;1970;2021;2073
2124;2175;2226;2277
2328;2380;2431;2482
2533;2584;2636;2687
2738;2789;2840;2892
2943;2994;3045;3096
3147;3199;3250;3301
3352;3403;3455;3506
3557;3608;3659;3711
3762;3813;3864;3915
3966;4018;4069;25
76;127;179;230
281;332;383;435
486;537;588;639
690;742;793;844
895;946;998;1049
1100;1151;1202;1254
1305;1356;1407;1458
1509;1561;1612;1663
1714;1765;1817;1868
1919;1970;2021;2073
2124;2175;2226;2277
2328;2380;2431;2482
2533;2584;2636;2687
2738;2789;2840;2892
2943;2994;3045;3096
3147;3199;3250;3301
3352;3403;3455;3506
3557;3608;3659;3711
3762;3813;3864;3915
3966;4018;4069;25
76;127;179;230
281;332;383;435
486;537;588;639
690;742;793;844
895;946;998;1049
1100;1151;1202;1254
1305;1356;1407;1458
1509;1561;1612;1663
1714;1765;1817;1868
1919;1970;2021;2073
2124;2175;2226;2277
2328;2380;2431;2482
2533;2584;2636;2687
2738;2789;2840;2892
2943;2994;3045;3096
3147;3199;3250;3301
3352;3403;3455;3506
3557;3608;3659;3711
3762;3813;3864;3915
3966;4018;4069;25
76;127;179;230
281;332;383;435
486;537;588;639
690;742;793;844
895;946;998;1049
1100;1151;1202;1254
1305;1356;1407;1458
1509;1561;1612;1663
1714;1765;1817;1868
1919;1970;2021;2073
2124;2175;2226;2277
2328;2380;2431;2482
2533;2584;2636;2687
2738;2789;2840;2892
2943;2994;3045;3096
3147;3199;3250;3301
3352;3403;3455;3506
3557;3608;3659;3711
3762;3813;3864;3915
3966;4018;4069;25
76;127;179;230
281;332;383;435
486;537;588;639
690;742;793;844
895;946;998;1049
1100;1151;1202;1254
1305;1356;1407;1458
1509;1561;1612;1663
1714;1765;1817;1868
1919;1970;2021;2073
2124;2175;2226;2277
2328;2380;2431;2482
2533;2584;2636;2687
2738;2789;2840;2892
2943;2994;3045;3096
3147;3199;3250;3301
3352;3403;3455;3506
3557;3608;3659;3711
3762;3813;3864;3915
3966;4018;4069;25
76;127;179;230
281;332;383;435
486;537;588;639
690;742;793;844
895;946;998;1049
1100;1151;1202;1254
1305;1356;1407;1458
1509;1561;1612;1663
1714;1765;1817;1868
1919;1970;2021;2073
2124;2175;2226;2277
2328;2380;2431;2482
2533;2584;2636;2687
2738;2789;2840;2892
2943;2994;3045;3096
3147;3199;3250;3301
3352;3403;3455;3506
3557;3608;3659;3711
3762;3813;3864;3915
3966;4018;4069;25
76;127;179;230
281;332;383;435
486;537;588;639
690;742;793;844
895;946;998;1049
1100;1151;1202;1254
1305;1356;1407;1458
1509;1561;1612;1663
1714;1765;1817;1868
1919;1970;2021;2073
2124;2175;2226;2277
2328;2380;2431;2482
2533;2584;2636;2687
2738;2789;2840;2892
2943;2994;3045;3096
3147;3199;3250;3301
3352;3403;3455;3506
3557;3608;3659;3711
3762;3813;3864;3915
3966;4018;4069;25
76;127;179;230
281;332;383;435
486;537;588;639
690;742;793;844
895;946;998;1049
1100;1151;1202;1254
1305;1356;1407;1458
1509;1561;1612;1663
1714;1765;1817;1868
1919;1970;2021;2073
2124;2175;2226;2277
2328;2380;2431;2482
2533;2584;2636;2687
2738;2789;2840;2892
2943;2994;3045;3096
3147;3199;3250;3301
3352;3403;3455;3506
3557;3608;3659;3711
3762;3813;3864;3915
3966;4018;4069;25
76;127;179;230
281;332;383;435
486;537;588;639
690;742;793;844
895;946;998;1049
1100;1151;1202;1254
1305;1356;1407;1458
1509;1561;1612;1663
1714;1765;1817;1868
1919;1970;2021;2073
2124;2175;2226;2277
2328;2380;2431;2482
2533;2584;2636;2687
2738;2789;2840;2892
2943;2994;3045;3096
3147;3199;3250;3301
3352;3403;3455;3506
3557;3608;3659;3711
3762;3813;3864;3915
3966;4018;4069;25
76;127;179;230
281;332;383;435
486;537;588;639
690;742;793;844
895;946;998;1049
1100;1151;1202;1254
1305;1356;1407;1458
1509;1561;1612;1663
1714;1765;1817;1868
1919;1970;2021;2073
2124;2175;2226;2277
2328;2380;2431;2482
2533;2584;2636;2687
2738;2789;2840;2892
2943;2994;3045;3096
3147;3199;3250;3301
3352;3403;3455;3506
3557;3608;3659;3711
3762;3813;3864;3915
3966;4018;4069;25
76;127;179;230
281;332;383;435
486;537;588;639
690;742;793;844
895;946;998;1049
1100;1151;1202;1254
1305;1356;1407;1458
1509;1561;1612;1663
1714;1765;1817;1868
1919;1970;2021;2073
2124;2175;2226;2277
2328;2380;2431;2482
2533;2584;2636;2687
2738;2789;2840;2892
2943;2994;3045;3096
3147;3199;3250;3301
3352;3403;3455;3506
3557;3608;3659;3711
3762;3813;3864;3915
3966;4018;4069;25
76;127;179;230
281;332;383;435
486;537;588;639
690;742;793;844
895;946;998;1049
1100;1151;1202;1254
1305;1356;1407;1458
1509;1561;1612;1663
1714;1765;1817;1868
1919;1970;2021;2073
2124;2175;2226;2277
2328;2380;2431;2482
2533;2584;2636;2687
2738;2789;2840;2892
2943;2994;3045;3096
3147;3199;3250;3301
3352;3403;3455;3506
3557;3608;3659;3711
3762;3813;3864;3915
3966;4018;4069;25
76;127;179;230
281;332;383;435
486;537;588;639
690;742;793;844
895;946;998;1049
1100;1151;1202;1254
1305;1356;1407;1458
1509;1561;1612;1663
1714;1765;1817;1868
1919;1970;2021;2073
2124;2175;2226;2277
2328;2380;2431;2482
2533;2584;2636;2687
2738;2789;2840;2892
2943;2994;3045;3096
3147;3199;3250;3301
3352;3403;3455;3506
3557;3608;3659;3711
3762;3813;3864;3915
3966;4018;4069;25
76;127;179;230
281;332;383;435
486;537;588;639
690;742;793;844
895;946;998;1049
1100;1151;1202;1254
1305;1356;1407;1458
1509;1561;1612;1663
1714;1765;1817;1868
1919;1970;2021;2073
2124;2175;2226;2277
2328;2380;2431;2482
2533;2584;2636;2687
2738;2789;2840;2892
2943;2994;3045;3096
3147;3199;3250;3301
3352;3403;3455;3506
3557;3608;3659;3711
3762;3813;3864;3915
3966;4018;4069;25
76;127;179;230
281;332;383;435
486;537;588;639
690;742;793;844
895;946;998;1049
1100;1151;1202;1254
1305;1356;1407;1458
1509;1561;1612;1663
1714;1765;1817;1868
1919;1970;2021;2073
2124;2175;2226;2277
2328;2380;2431;2482
2533;2584;2636;2687
2738;2789;2840;2892
2943;2994;3045;3096
3147;3199;3250;3301
3352;3403;3455;3506
3557;3608;3659;3711
3762;3813;3864;3915
3966;4018;4069;25
76;127;179;230
281;332;383;435
486;537;588;639
690;742;793;844
895;946;998;1049
1100;1151;1202;1254
1305;1356;1407;1458
1509;1561;1612;1663
1714;1765;1817;1868
1919;1970;2021;2073
2124;2175;2226;2277
2328;2380;2431;2482
2533;2584;2636;2687
2738;2789;2840;2892
2943;2994;3045;3096
3147;3199;3250;3301
3352;3403;3455;3506
3557;3608;3659;3711
3762;3813;3864;3915
3966;4018;4069;25
76;127;179;230
281;332;383;435
486;537;588;639
690;742;793;844
895;946;998;1049
1100;1151;1202;1254
1305;1356;1407;1458
1509;1561;1612;1663
1714;1765;1817;1868
1919;1970;2021;2073
2124;2175;2226;2277
2328;2380;2431;2482
2533;2584;2636;2687
2738;2789;2840;2892
2943;2994;3045;3096
3147;3199;3250;3301
3352;3403;3455;3506
3557;3608;3659;3711
3762;3813;3864;3915
3966;4018;4069;25
76;127;179;230
281;332;383;435
486;537;588;639
690;742;793;844
895;946;998;1049
1100;1151;1202;1254
1305;1356;1407;1458
1509;1561;1612;1663
1714;1765;1817;1868
1919;1970;2021;2073
2124;2175;2226;2277
2328;2380;2431;2482
2533;2584;2636;2687
2738;2789;2840;2892
2943;2994;3045;3096
3147;3199;3250;3301
3352;3403;3455;3506
3557;3608;3659;3711
3762;3813;3864;3915
3966;4018;4069;25
76;127;179;230
281;332;383;435
486;537;588;639
690;742;793;844
895;946;998;1049
1100;1151;1202;1254
1305;1356;1407;1458
1509;1561;1612;1663
1714;1765;1817;1868
1919;1970;2021;2073
2124;2175;2226;2277
2328;2380;2431;2482
2533;2584;2636;2687
2738;2789;2840;2892
2943;2994;3045;3096
3147;3199;3250;3301
3352;3403;3455;3506
3557;3608;3659;3711
3762;3813;3864;3915
3966;4018;4069;25
76;127;179;230
281;332;383;435
486;537;588;639
690;742;793;844
895;946;998;1049
1100;1151;1202;1254
1305;1356;1407;1458
1509;1561;1612;1663
1714;1765;1817;1868
1919;1970;2021;2073
2124;2175;2226;2277
2328;2380;2431;2482
2533;2584;2636;2687
2738;2789;2840;2892
2943;2994;3045;3096
3147;3199;3250;3301
3352;3403;3455;3506
3557;3608;3659;3711
3762;3813;3864;3915
3966;4018;4069;25
76;127;179;230
281;332;383;435
486;537;588;639
690;742;793;844
895;946;998;1049
1100;1151;1202;1254
1305;1356;1407;1458
1509;1561;1612;1663
1714;1765;1817;1868
1919;1970;2021;2073
2124;2175;2226;2277
2328;2380;2431;2482
2533;2584;2636;2687
2738;2789;2840;2892
2943;2994;3045;3096
3147;3199;3250;3301
3352;3403;3455;3506
3557;3608;3659;3711
3762;3813;3864;3915
3966;4018;4069;25
76;127;179;230
281;332;383;435
486;537;588;639
690;742;793;844
895;946;998;1049
1100;1151;1202;1254
1305;1356;1407;1458
1509;1561;1612;1663
1714;1765;1817;1868
1919;1970;2021;2073
2124;2175;2226;2277
2328;2380;2431;2482
2533;2584;2636;2687
2738;2789;2840;2892
2943;2994;3045;3096
3147;3199;3250;3301
3352;3403;3455;3506
3557;3608;3659;3711
3762;3813;3864;3915
3966;4018;4069;25
76;127;179;230
281;332;383;435
486;537;588;639
690;742;793;844
895;946;998;1049
1100;1151;1202;1254
1305;1356;1407;1458
1509;1561;1612;1663
1714;1765;1817;1868
1919;1970;2021;2073
2124;2175;2226;2277
2328;2380;2431;2482
2533;2584;2636;2687
2738;2789;2840;2892
2943;2994;3045;3096
3147;3199;3250;3301
3352;3403;3455;3506
3557;3608;3659;3711
3762;3813;3864;3915
3966;4018;4069;25
76;127;179;230
281;332;383;435
486;537;588;639
690;742;793;844
895;946;998;1049
1100;1151;1202;1254
1305;1356;1407;1458
1509;1561;1612;1663
1714;1765;1817;1868
1919;1970;2021;2073
2124;2175;2226;2277
2328;2380;2431;2482
2533;2584;2636;2687
2738;2789;2840;2892
2943;2994;3045;3096
3147;3199;3250;3301
3352;3403;3455;3506
3557;3608;3659;3711
3762;3813;3864;3915
3966;4018;4069;25
76;127;179;230
281;332;383;435
486;537;588;639
690;742;793;844
895;946;998;1049
1100;1151;1202;1254
1305;1356;1407;1458
1509;1561;1612;1663
1714;1765;1817;1868
1919;1970;2021;2073
2124;2175;2226;2277
2328;2380;2431;2482
2533;2584;2636;2687
2738;2789;2840;2892
2943;2994;3045;3096
3147;3199;3250;3301
3352;3403;3455;3506
3557;3608;3659;3711
3762;3813;3864;3915
3966;4018;4069;25
76;127;179;230
281;332;383;435
486;537;588;639
690;742;793;844
895;946;998;1049
1100;1151;1202;1254
1305;1356;1407;1458
1509;1561;1612;1663
1714;1765;1817;1868
1919;1970;2021;2073
2124;2175;2226;2277
2328;2380;2431;2482
2533;2584;2636;2687
2738;2789;2840;2892
2943;2994;3045;3096
3147;3199;3250;3301
3352;3403;3455;3506
3557;3608;3659;3711
3762;3813;3864;3915
3966;4018;4069;25
76;127;179;230
281;332;383;435
486;537;588;639
690;742;793;844
895;946;998;1049
1100;1151;1202;1254
1305;1356;1407;1458
1509;1561;1612;1663
1714;1765;1817;1868
1919;1970;2021;2073
2124;2175;2226;2277
2328;2380;2431;2482
2533;2584;2636;2687
2738;2789;2840;2892
2943;2994;3045;3096
3147;3199;3250;3301
3352;3403;3455;3506
3557;3608;3659;3711
3762;3813;3864;3915
3966;4018;4069;25
76;127;179;230
281;332;383;435
486;537;588;639
690;742;793;844
895;946;998;1049
1100;1151;1202;1254
1305;1356;1407;1458
1509;1561;1612;1663
1714;1765;1817;1868
1919;1970;2021;2073
2124;2175;2226;2277
2328;2380;2431;2482
2533;2584;2636;2687
2738;2789;2840;2892
2943;2994;3045;3096
3147;3199;3250;3301
3352;3403;3455;3506
3557;3608;3659;3711
3762;3813;3864;3915
3966;4018;4069;25
76;127;179;230
281;332;383;435
486;537;588;639
690;742;793;844
